time(s),HC-SR04,IR-Sharp
1,28.68,31.88
2,28.68,31.97
3,28.68,32.07
4,28.68,31.97
5,28.66,31.88
6,28.68,32.36
7,28.68,32.17
8,28.66,31.97
9,28.7,32.36
10,28.71,32.17
11,28.71,31.88
12,28.71,31.69
13,28.71,32.36
14,29.07,25.47
15,29.05,32.46
16,29.05,32.26
17,28.66,32.17
18,28.68,32.26
19,28.68,31.88
20,29.07,31.88
21,28.68,32.07
22,28.68,31.88
23,28.68,31.04
24,28.68,31.97
25,28.68,31.78
26,28.66,32.26
27,28.66,25.29
28,28.66,25.53
29,28.66,32.17
30,28.66,32.56
