time(s),HC-SR04,IR-Sharp
1,29.44,29.66
2,29.83,29.82
3,29.87,29.82
4,29.82,30.16
5,29.43,30.42
6,29.83,29.99
7,29.82,29.82
8,29.43,29.82
9,29.44,29.82
10,29.44,29.82
11,29.46,30.08
12,29.44,30.08
13,29.44,29.91
14,29.44,29.74
15,29.44,29.82
16,29.89,32.17
17,29.48,29.91
18,29.48,29.66
19,29.48,30.16
20,29.48,22.95
21,29.5,29.74
22,29.89,30.59
23,29.44,29.82
24,29.44,29.99
25,29.44,29.82
26,29.44,29.01
27,29.46,29.99
28,29.44,29.99
29,29.83,29.41
30,29.48,29.82
