time(s),HC-SR04,IR-Sharp
1,28.99,28.09
2,28.99,28.02
3,28.99,27.87
4,28.99,29.66
5,28.99,30.08
6,28.99,28.09
7,28.99,22.85
8,28.99,24.14
9,28.97,30.33
10,29.02,30.08
11,29.02,28.39
12,29.02,30.08
13,29.02,28.24
14,28.99,30.16
15,28.99,29.66
16,28.99,28.09
17,29.02,29.74
18,29.02,28.17
19,29.02,30.08
20,28.97,22.65
21,28.97,28.17
22,29.0,28.54
23,29.0,28.39
24,28.99,28.02
25,28.99,27.8
26,29.0,30.08
27,28.99,30.16
28,28.99,30.08
29,29.02,27.87
30,29.04,28.17
